property_type,sector,price,areaWithType,bedRoom,bathroom,balcony,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,furnishing_type,luxury_category,floorNum_cat
0.0,25.0,4.8,535.0,4,6,4.0,1.0,1827.75,1650.0,2500.0,0,1,2,1.0,2.0
0.0,11.0,0.97,353.0,2,2,3.0,3.0,1827.75,1650.0,1050.0,0,1,0,0.0,2.0
0.0,5.0,0.97,2253.0,2,2,2.0,3.0,915.0,1650.0,1294.0,0,0,0,2.0,0.0
0.0,99.0,1.7,1331.0,3,4,2.0,4.0,1630.0,1650.0,1294.0,0,0,0,2.0,1.0
1.0,29.0,6.75,848.0,3,3,3.0,0.0,1827.75,2430.0,1294.0,0,0,0,1.0,1.0
0.0,97.0,1.2,482.0,3,3,4.0,0.0,1827.75,1650.0,1930.0,0,1,0,2.0,2.0
0.0,74.0,1.65,1633.0,3,5,3.0,3.0,1950.0,1650.0,1161.0,0,1,0,0.0,2.0
0.0,90.0,0.69,1138.0,2,2,4.0,3.0,1350.0,1650.0,1294.0,1,0,0,2.0,2.0
0.0,91.0,1.2,1375.0,2,2,3.0,3.0,1671.0,1660.0,1650.0,0,0,0,1.0,0.0
0.0,99.0,0.75,448.0,3,4,3.0,0.0,1827.75,1650.0,1600.0,1,0,0,2.0,1.0
0.0,49.0,1.69,485.0,3,3,3.0,0.0,1827.75,1650.0,1960.0,0,0,0,2.0,1.0
0.0,69.0,4.5,2090.0,4,4,4.0,3.0,3192.0,3160.0,3000.0,0,1,1,1.0,1.0
1.0,35.0,8.5,944.0,5,5,4.0,1.0,1827.75,4770.0,1294.0,1,1,1,2.0,1.0
0.0,10.0,0.4,2210.0,2,2,1.0,3.0,602.0,1650.0,548.0,0,0,1,2.0,2.0
0.0,2.0,0.9,1938.0,4,4,3.0,0.0,2467.0,1650.0,1294.0,0,0,0,1.0,2.0
0.0,53.0,5.0,621.0,5,7,4.0,0.0,1827.75,1650.0,5200.0,0,1,0,2.0,1.0
0.0,80.0,1.9,1378.0,3,3,2.0,4.0,1672.0,1650.0,1294.0,0,0,0,2.0,1.0
0.0,90.0,1.24,1584.0,3,3,3.0,3.0,1918.0,1650.0,1550.0,1,0,1,0.0,2.0
0.0,35.0,1.4,2220.0,3,3,3.0,4.0,650.0,1650.0,1294.0,0,0,0,2.0,1.0
0.0,101.0,0.46,691.0,2,2,2.0,1.0,1827.75,1650.0,728.0,1,0,0,2.0,0.0
0.0,1.0,1.38,18.0,2,2,2.0,4.0,1827.75,1130.0,1294.0,0,0,1,2.0,2.0
0.0,5.0,1.82,1616.0,3,4,4.0,0.0,1942.0,1650.0,1294.0,0,1,0,2.0,0.0
0.0,103.0,0.4,654.0,2,2,3.0,1.0,1827.75,1650.0,595.0,0,0,0,1.0,0.0
0.0,2.0,0.86,1967.0,3,3,4.0,0.0,2588.0,1900.0,1877.0,0,1,0,2.0,1.0
0.0,74.0,1.65,484.0,3,3,2.0,3.0,1827.75,1650.0,1950.0,1,0,0,2.0,2.0
0.0,60.0,3.78,517.0,3,3,3.0,4.0,1827.75,1650.0,2295.0,0,0,0,1.0,1.0
0.0,5.0,1.42,1357.0,3,3,3.0,3.0,1650.0,1650.0,1022.58,0,1,0,2.0,2.0
0.0,12.0,1.4,1447.0,3,3,4.0,3.0,1750.0,1466.0,1350.0,0,0,0,2.0,2.0
0.0,101.0,0.27,1015.0,2,2,0.0,3.0,1000.0,1650.0,550.0,0,0,0,1.0,1.0
0.0,92.0,0.42,614.0,2,2,1.0,1.0,1827.75,1650.0,501.0,1,1,0,2.0,1.0
0.0,102.0,0.26,636.0,2,2,1.0,3.0,1827.75,1650.0,550.0,0,0,0,2.0,2.0
0.0,101.0,0.4,682.0,3,2,2.0,3.0,1827.75,1650.0,685.0,0,0,0,1.0,2.0
0.0,57.0,2.05,1782.0,4,4,3.0,3.0,2150.0,2000.0,1950.0,0,1,1,1.0,2.0
0.0,99.0,0.87,1445.0,4,4,2.0,0.0,1750.0,1650.0,1294.0,0,0,2,2.0,1.0
0.0,92.0,1.65,1572.0,3,4,3.0,3.0,1895.0,1650.0,1294.0,0,1,0,2.0,2.0
1.0,18.0,0.42,955.0,3,3,0.0,1.0,1827.75,1650.0,510.0,0,0,0,1.0,1.0
0.0,67.0,2.75,1643.0,4,4,3.0,3.0,1975.0,1750.0,1650.0,1,1,1,2.0,1.0
0.0,96.0,0.88,1502.0,3,3,2.0,2.0,1800.0,1650.0,1123.0,0,0,1,1.0,1.0
0.0,98.0,1.4,1571.0,3,3,4.0,3.0,1890.0,1700.0,1600.0,0,0,0,2.0,2.0
0.0,67.0,5.9,2105.0,3,3,3.0,0.0,3363.0,1650.0,1294.0,1,0,2,1.0,2.0
0.0,86.0,0.82,342.0,2,2,3.0,3.0,1827.75,955.0,565.0,0,0,0,2.0,1.0
0.0,86.0,3.3,2118.0,4,5,4.0,3.0,3470.0,1650.0,2700.0,1,1,1,0.0,2.0
0.0,99.0,0.5,667.0,3,3,1.0,1.0,1827.75,1650.0,640.0,0,0,2,2.0,0.0
