,property_type,sector,price,bedRoom,bathroom,balcony,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,furnishing_type,luxury_cat,floorNum_cat
169,flat,sector 108,0.97,2,2,3,Relatively New,,,1050.0,0,1,unfurnished,high,medium
170,flat,sector 102,0.97,2,2,2,Relatively New,915.0,,,0,0,unfurnished,medium,high
171,flat,sector 92,1.7,3,4,2,Under Construction,1630.0,,,0,0,unfurnished,medium,low
172,house,sector 26,6.75,3,3,3,Moderately Old,,2430.0,,0,0,unfurnished,low,low
173,flat,sector 90,1.2,3,3,3+,Moderately Old,,,1930.0,0,1,unfurnished,medium,medium
174,flat,sector 70,1.65,3,5,3,Relatively New,1950.0,,1161.0,0,1,unfurnished,high,medium
175,flat,sector 84,0.69,2,2,3+,Relatively New,1350.0,,,1,0,unfurnished,medium,medium
176,flat,sector 85,1.2,2,2,3,Relatively New,1671.0,1660.0,1650.0,0,0,unfurnished,low,high
177,flat,sector 92,0.75,3,4,3,Moderately Old,,,1600.0,1,0,unfurnished,medium,low
178,flat,sector 49,1.69,3,3,3,Moderately Old,,,1960.0,0,0,unfurnished,medium,low
179,flat,sector 67,4.5,4,4,3+,Relatively New,3192.0,3160.0,3000.0,0,1,semi_furnished,low,low
180,house,sector 33,8.5,5,5,3+,New Property,,4770.0,,1,1,semi_furnished,medium,low
181,flat,sector 107,0.4,2,2,1,Relatively New,602.0,,548.0,0,0,semi_furnished,medium,medium
182,flat,manesar,0.9,4,4,3,Moderately Old,2467.0,,,0,0,unfurnished,low,medium
183,flat,sector 52,5.0,5,7,3+,Moderately Old,,,5200.0,0,1,unfurnished,medium,low
184,flat,sector 76,1.9,3,3,2,Under Construction,1672.0,,,0,0,unfurnished,medium,low
185,flat,sector 84,1.24,3,3,3,Relatively New,1918.0,1650.0,1550.0,1,0,semi_furnished,high,medium
186,flat,sector 33,1.4,3,3,3,Under Construction,650.0,,,0,0,unfurnished,medium,low
187,flat,sector 95,0.46,2,2,2,New Property,,,728.0,1,0,unfurnished,medium,high
188,flat,gwal pahari,1.38,2,2,2,Under Construction,,1130.0,,0,0,semi_furnished,medium,medium
189,flat,sector 102,1.82,3,4,3+,Moderately Old,1942.0,,,0,1,unfurnished,medium,high
190,flat,sohna road,0.4,2,2,3,New Property,,,595.0,0,0,unfurnished,low,high
191,flat,manesar,0.86,3,3,3+,Moderately Old,2588.0,1900.0,1877.0,0,1,unfurnished,medium,low
192,flat,sector 70,1.65,3,3,2,Relatively New,,,1950.0,1,0,unfurnished,medium,medium
193,flat,sector 59,3.78,3,3,3,Under Construction,,,2295.0,0,0,unfurnished,low,low
194,flat,sector 102,1.42,3,3,3,Relatively New,1650.0,,1022.58,0,1,unfurnished,medium,medium
195,flat,sector 109,1.4,3,3,3+,Relatively New,1750.0,1466.0,1350.0,0,0,unfurnished,medium,medium
